time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-03 00:00:00+00:00,3,2,16,2
2023-08-04 00:00:00+00:00,1,1,6,6
2023-08-05 00:00:00+00:00,1,1,11,1
2023-08-06 00:00:00+00:00,1,1,1,1
2023-08-07 00:00:00+00:00,2,2,5,2
2023-08-08 00:00:00+00:00,5,3,2,2
2023-08-09 00:00:00+00:00,3,3,1,1
2023-08-10 00:00:00+00:00,4,3,6,2
2023-08-11 00:00:00+00:00,2,2,0,0
2023-08-12 00:00:00+00:00,1,1,0,0
2023-08-13 00:00:00+00:00,1,1,5,3
2023-08-14 00:00:00+00:00,3,3,24,3
2023-08-15 00:00:00+00:00,3,3,0,0
2023-08-16 00:00:00+00:00,1,1,7,2
2023-08-17 00:00:00+00:00,3,3,27,1
2023-08-18 00:00:00+00:00,3,3,1,1
2023-08-19 00:00:00+00:00,1,1,1,1
2023-08-20 00:00:00+00:00,1,1,1,1
2023-08-21 00:00:00+00:00,5,4,0,0
2023-08-22 00:00:00+00:00,4,4,20,2
2023-08-23 00:00:00+00:00,2,2,0,0
2023-08-24 00:00:00+00:00,1,1,0,0
2023-08-25 00:00:00+00:00,3,3,2,1
2023-08-26 00:00:00+00:00,7,4,2,2
2023-08-27 00:00:00+00:00,2,2,1,1
2023-08-28 00:00:00+00:00,3,3,12,3
2023-08-29 00:00:00+00:00,3,3,0,0
2023-08-30 00:00:00+00:00,1,1,1,1
2023-08-31 00:00:00+00:00,1,1,0,0
2023-09-01 00:00:00+00:00,1,1,1,1
2023-09-02 00:00:00+00:00,2,2,3,2
2023-09-03 00:00:00+00:00,1,1,6,2
2023-09-04 00:00:00+00:00,2,2,4,2
2023-09-05 00:00:00+00:00,2,2,1,1
2023-09-06 00:00:00+00:00,3,3,0,0
2023-09-07 00:00:00+00:00,5,5,6,4
2023-09-08 00:00:00+00:00,3,3,12,2
2023-09-09 00:00:00+00:00,1,1,0,0
2023-09-10 00:00:00+00:00,2,2,0,0
2023-09-11 00:00:00+00:00,2,2,9,2
2023-09-12 00:00:00+00:00,2,2,37,7
2023-09-13 00:00:00+00:00,7,4,2,1
2023-09-14 00:00:00+00:00,78,3,0,0
2023-09-15 00:00:00+00:00,35,2,7,1
2023-09-16 00:00:00+00:00,5,3,1,1
2023-09-17 00:00:00+00:00,4,2,1,1
2023-09-18 00:00:00+00:00,2,2,0,0
2023-09-19 00:00:00+00:00,1,1,0,0
2023-09-20 00:00:00+00:00,2,2,7,1
2023-09-21 00:00:00+00:00,1,1,9,3
2023-09-22 00:00:00+00:00,1,1,1,1
